,Gender,Organizes activities with his friends,What are your strengths among these,What activity do you do most frequently?,have difficulty understanding what you have read?,FavoriteSubject,FavoriteGame,IntelligenceType
3627,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Mathematics teacher or engineer,Maths,Individual games,Logico Math̩matique
1323,Male,Draws or scribbles drawings and looks at pictures,Read maps charts and graphs without difficulty and is well noticeable,watches movies and views pictures a lot,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
2874,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,Participate in social or sports clubs,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
2869,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Physical education,Pet simulator,Naturalistic
3075,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
2496,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Biology and Earth,Building games or maze games or drawing guess games,Musical
4968,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,Easily remember the rhythm or music of commercials,reacts strongly to controversial opinions,Journalist or lawyer,Maths,Individual games,Intra Personnelle
4211,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
89,Male,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Psychiatrist or Salesman or Counselor,Maths,Puzzle games or strategy games,Logico Math̩matique
1728,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Biology and Earth,Individual games,Logico Math̩matique
1463,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
4623,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Mathematics teacher or engineer,Maths,Sports games,Logico Math̩matique
3998,Male,Invent write and tell stories,solve complex problems easily and have the ability to do mental math quickly,Participate in social or sports clubs,Psychiatrist or Salesman or Counselor,Maths,Scrabble and word games,Linguistic
995,Female,Gather and disassemble things, has the ability to easily recognize birds plants and trees,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
1400,Female,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Dancer or Athlete or Build,Arts,Sports games,Kinesthetic
2060,Female,Draws or scribbles drawings and looks at pictures, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Psychiatrist or Salesman or Counselor,Arts,Building games or maze games or drawing guess games,Spatial
877,Female,Draws or scribbles drawings and looks at pictures, has the ability to easily recognize birds plants and trees,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Sports games,Logico Math̩matique
1036,Female,Listen to music or plays an instrument,Has a good sense of coordination and is skilled in many sporting or physical activities,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Arts,Sports games,Musical
1885,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,foreign languages,Guess the song games,Musical
4646,Female,Perform scientific experiments,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Puzzle games or strategy games,Logico Math̩matique
4518,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Gardener or Biologist,Arts,Puzzle games or strategy games,Spatial
820,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Arts,Building games or maze games or drawing guess games,Spatial
3049,Male,Organizes activities with his friends,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Board games or card games,Logico Math̩matique
1713,Female,Organizes activities with his friends,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Music,Individual games,Logico Math̩matique
1467,Female,Spend a lot of time outdoors and identifie plants and animals or insects,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Pet simulator,Logico Math̩matique
1374,Male,Listen to music or plays an instrument,Has a good sense of coordination and is skilled in many sporting or physical activities,listens to many styles of music often and repeats the song aloud,Journalist or lawyer,Music,Guess the song games,Musical
802,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,Music,Guess the song games,Musical
3292,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Journalist or lawyer,foreign languages,Sports games,Musical
273,Male,Organizes activities with his friends,solve complex problems easily and have the ability to do mental math quickly,Participate in social or sports clubs,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
1911,Male,Spend a lot of time outdoors and identifie plants and animals or insects,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Puzzle games or strategy games,Logico Math̩matique
1273,Male,Organizes activities with his friends,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Gardener or Biologist,foreign languages,Pet simulator,Naturalistic
691,Female,Invent write and tell stories,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
3505,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,do sport activities regularly and continuously,Dancer or Athlete or Build,Biology and Earth,Sports games,Kinesthetic
1893,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Individual games,Logico Math̩matique
1334,Female,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
4741,Male,Spend a lot of time outdoors and identifie plants and animals or insects,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Mathematics teacher or engineer,Arts,Board games or card games,Intra Personnelle
4980,Female,Invent write and tell stories,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
446,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Mathematics teacher or engineer,Physical education,Sports games,Kinesthetic
169,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,watches movies and views pictures a lot,Mathematics teacher or engineer,Maths,Sports games,Logico Math̩matique
3268,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Music,Building games or maze games or drawing guess games,Spatial
4536,Female,Gather and disassemble things,Read maps charts and graphs without difficulty and is well noticeable,watches movies and views pictures a lot,Dancer or Athlete or Build,Arts,Sports games,Spatial
4998,Male,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Biology and Earth,Puzzle games or strategy games,Logico Math̩matique
760,Male,Invent write and tell stories,expresses himself with a rich vocabulary,Read a lot,Journalist or lawyer,foreign languages,Scrabble and word games,Linguistic
1700,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
1319,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Maths,Sports games,Logico Math̩matique
2627,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,Read a lot,Psychiatrist or Salesman or Counselor,Biology and Earth,Building games or maze games or drawing guess games,Spatial
2973,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Music,Sports games,Musical
1243,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Maths,Sports games,Musical
3113,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,intereste in the environment in his daily actions and learns new things about nature,Dancer or Athlete or Build,Music,Sports games,Kinesthetic
4656,Male,Spend a lot of time outdoors and identifie plants and animals or insects,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Physical education,Pet simulator,Naturalistic
3020,Male,Invent write and tell stories,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Biology and Earth,Sports games,Logico Math̩matique
3194,Female,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Sports games,Logico Math̩matique
3890,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,foreign languages,Board games or card games,Linguistic
847,Male,Listen to music or plays an instrument, has the ability to easily recognize birds plants and trees,reacts strongly to controversial opinions,Artist or Architect,Maths,Guess the song games,Musical
1273,Male,Organizes activities with his friends,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Gardener or Biologist,foreign languages,Pet simulator,Naturalistic
790,Male,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Puzzle games or strategy games,Logico Math̩matique
1815,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Individual games,Logico Math̩matique
2927,Male,Listen to music or plays an instrument,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
354,Female,Gather and disassemble things,Read maps charts and graphs without difficulty and is well noticeable,watches movies and views pictures a lot,Journalist or lawyer,Arts,Puzzle games or strategy games,Spatial
781,Male,Invent write and tell stories,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Sports games,Kinesthetic
2027,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Music,Building games or maze games or drawing guess games,Spatial
4004,Male,Gather and disassemble things,expresses himself with a rich vocabulary,watches movies and views pictures a lot,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
3306,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
2789,Female,Draws or scribbles drawings and looks at pictures,Read maps charts and graphs without difficulty and is well noticeable,watches movies and views pictures a lot,Gardener or Biologist,Maths,Pet simulator,Spatial
1922,Female,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,Participate in social or sports clubs,Dancer or Athlete or Build,Maths,Sports games,Kinesthetic
878,Male,Perform scientific experiments,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Puzzle games or strategy games,Logico Math̩matique
2733,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Individual games,Logico Math̩matique
3784,Female,Spend a lot of time outdoors and identifie plants and animals or insects,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Arts,Puzzle games or strategy games,Logico Math̩matique
3292,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Journalist or lawyer,foreign languages,Sports games,Musical
1125,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,do sport activities regularly and continuously,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
1513,Female,Perform scientific experiments,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Music,Puzzle games or strategy games,Logico Math̩matique
2540,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Dancer or Athlete or Build,Physical education,Board games or card games,Kinesthetic
4867,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,do sport activities regularly and continuously,Mathematics teacher or engineer,Arts,Building games or maze games or drawing guess games,Spatial
4201,Male,Spend a lot of time outdoors and identifie plants and animals or insects,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Physical education,Sports games,Kinesthetic
3544,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Sports games,Kinesthetic
1410,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
676,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,Easily remember the rhythm or music of commercials,reacts strongly to controversial opinions,writer,Maths,Individual games,Intra Personnelle
3933,Male,Perform scientific experiments,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Physical education,Puzzle games or strategy games,Logico Math̩matique
1084,Male,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Puzzle games or strategy games,Logico Math̩matique
3139,Male,Organizes activities with his friends,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Psychiatrist or Salesman or Counselor,Biology and Earth,Board games or card games,Inter Personnelle
3868,Male,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Dancer or Athlete or Build,Music,Sports games,Musical
3044,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Physical education,Sports games,Spatial
4054,Male,Invent write and tell stories,expresses himself with a rich vocabulary,Read a lot,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Linguistic
2653,Male,Draws or scribbles drawings and looks at pictures, has the ability to easily recognize birds plants and trees,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Sports games,Spatial
227,Male,Perform scientific experiments,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Singer or Music Teacher,Physical education,Puzzle games or strategy games,Logico Math̩matique
1287,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Physical education,Individual games,Kinesthetic
19,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Journalist or lawyer,Arts,Pet simulator,Musical
1105,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Maths,Puzzle games or strategy games,Logico Math̩matique
3433,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
1333,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Sports games,Kinesthetic
3598,Female,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
675,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,reacts strongly to controversial opinions,Dancer or Athlete or Build,Physical education,Individual games,Intra Personnelle
3560,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,foreign languages,Sports games,Kinesthetic
1198,Male,Perform scientific experiments,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Music,Sports games,Logico Math̩matique
728,Female,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,Participate in social or sports clubs,Artist or Architect,Maths,Sports games,Logico Math̩matique
3958,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Mathematics teacher or engineer,Music,Guess the song games,Musical
1353,Female,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,Read a lot,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Linguistic
4613,Male,Perform scientific experiments,Read maps charts and graphs without difficulty and is well noticeable,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Arts,Puzzle games or strategy games,Logico Math̩matique
283,Female,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Arts,Building games or maze games or drawing guess games,Spatial
4173,Male,Spend a lot of time outdoors and identifie plants and animals or insects,decides for himself what he think to do and tracks his personal interests alone,intereste in the environment in his daily actions and learns new things about nature,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
2283,Male,Listen to music or plays an instrument, has the ability to easily recognize birds plants and trees,reacts strongly to controversial opinions,Singer or Music Teacher,Biology and Earth,Guess the song games,Musical
156,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Spatial
836,Female,Invent write and tell stories,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Music,Sports games,Spatial
2731,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Maths,Guess the song games,Musical
180,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
483,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Music,Guess the song games,Musical
1683,Male,Draws or scribbles drawings and looks at pictures, has the ability to easily recognize birds plants and trees,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Biology and Earth,Building games or maze games or drawing guess games,Spatial
3652,Male,Listen to music or plays an instrument,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
535,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
4717,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Music,Building games or maze games or drawing guess games,Spatial
3311,Female,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Music,Puzzle games or strategy games,Logico Math̩matique
3048,Male,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
1606,Male,Invent write and tell stories,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Arts,Puzzle games or strategy games,Logico Math̩matique
660,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Music,Building games or maze games or drawing guess games,Spatial
3485,Female,Draws or scribbles drawings and looks at pictures,Read maps charts and graphs without difficulty and is well noticeable,watches movies and views pictures a lot,Mathematics teacher or engineer,Music,Puzzle games or strategy games,Spatial
2556,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,expresses himself with a rich vocabulary,watches movies and views pictures a lot,Gardener or Biologist,Maths,Individual games,Intra Personnelle
28,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Music,Guess the song games,Musical
3534,Female,Invent write and tell stories,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Singer or Music Teacher,foreign languages,Scrabble and word games,Linguistic
4084,Male,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Psychiatrist or Salesman or Counselor,Arts,Building games or maze games or drawing guess games,Spatial
4297,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Maths,Sports games,Musical
1589,Male,Invent write and tell stories,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Biology and Earth,Puzzle games or strategy games,Linguistic
177,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Music,Sports games,Kinesthetic
4830,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Maths,Sports games,Kinesthetic
1605,Female,Gather and disassemble things, has the ability to easily recognize birds plants and trees,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
1482,Female,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,foreign languages,Building games or maze games or drawing guess games,Linguistic
4857,Male,Listen to music or plays an instrument,solve complex problems easily and have the ability to do mental math quickly,listens to many styles of music often and repeats the song aloud,Dancer or Athlete or Build,Maths,Sports games,Logico Math̩matique
4247,Male,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Puzzle games or strategy games,Logico Math̩matique
2953,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,reacts strongly to controversial opinions,Dancer or Athlete or Build,foreign languages,Sports games,Kinesthetic
3465,Female,Organizes activities with his friends,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Artist or Architect,Biology and Earth,Sports games,Inter Personnelle
3584,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Arts,Individual games,Spatial
354,Female,Gather and disassemble things,Read maps charts and graphs without difficulty and is well noticeable,watches movies and views pictures a lot,Journalist or lawyer,Arts,Puzzle games or strategy games,Spatial
3405,Male,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Puzzle games or strategy games,Logico Math̩matique
1752,Male,Invent write and tell stories,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Maths,Scrabble and word games,Linguistic
2098,Female,Organizes activities with his friends,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Arts,Board games or card games,Inter Personnelle
3320,Female,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
39,Female,Invent write and tell stories,Easily remember the rhythm or music of commercials,intereste in the environment in his daily actions and learns new things about nature,Mathematics teacher or engineer,Music,Puzzle games or strategy games,Logico Math̩matique
3158,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
523,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Maths,Sports games,Spatial
118,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Biology and Earth,Building games or maze games or drawing guess games,Logico Math̩matique
4496,Male,Invent write and tell stories,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,writer,Maths,Sports games,Logico Math̩matique
705,Female,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Music,Sports games,Musical
2583,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Arts,Puzzle games or strategy games,Kinesthetic
537,Female,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
1580,Male,Listen to music or plays an instrument,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Dancer or Athlete or Build,Maths,Sports games,Inter Personnelle
895,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Kinesthetic
663,Female,Organizes activities with his friends,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Maths,Board games or card games,Logico Math̩matique
1103,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Sports games,Logico Math̩matique
