,He likes to be part of a team and enjoy collective activities,It's fun to be with others more than to be alone,Likes to help others,Loves to share his knowledge,It is important for him to follow his own way,He likes to try new things,He do not like to follow the rules,He likes to change things by himself,It is important for him that is always his duties in full,He likes to defeat obstacles,He loves competitions where they can win a prize,If sufficient reward will strive,Playertype
1972,neutral,Likes,Does not like,neutral,Likes,Likes,Does not like,Likes,Does not like,neutral,neutral,Likes,type_freeSpirit
2946,Likes,Does not like,Likes,Likes,Likes,neutral,Does not like,Likes,Does not like,Likes,Does not like,Likes,type_philanthropist
1471,Likes,Likes,Does not like,Likes,Does not like,neutral,neutral,Likes,Likes,Likes,Likes,Likes,type_socializer
2986,Does not like,neutral,neutral,Does not like,Likes,neutral,Does not like,Likes,neutral,Likes,Likes,neutral,type_achiever
2733,Likes,Does not like,neutral,Does not like,neutral,neutral,neutral,neutral,neutral,Likes,Does not like,Likes,type_achiever
739,neutral,Does not like,Likes,Does not like,Likes,neutral,Likes,neutral,Likes,Does not like,Likes,Does not like,type_disruptor
3115,Likes,neutral,Likes,Does not like,Likes,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,neutral,type_socializer
1024,Does not like,Does not like,Does not like,Likes,neutral,Likes,Likes,neutral,Likes,neutral,Likes,Likes,type_player
2984,neutral,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Does not like,Likes,Likes,Does not like,Does not like,type_achiever
3942,Likes,Likes,Likes,Likes,Does not like,neutral,Does not like,Does not like,neutral,neutral,neutral,neutral,type_socializer
952,neutral,Likes,neutral,Does not like,Likes,Likes,neutral,Does not like,Does not like,Does not like,Does not like,Likes,type_freeSpirit
3835,Likes,neutral,Likes,neutral,Does not like,Likes,Likes,Does not like,neutral,Does not like,Does not like,Likes,type_socializer
47,Does not like,Likes,Likes,Does not like,Likes,Does not like,Likes,Likes,Does not like,Does not like,neutral,Does not like,type_disruptor
1106,Does not like,Does not like,Likes,Does not like,Does not like,Does not like,Likes,Does not like,Likes,Likes,Does not like,Likes,type_achiever
4813,Likes,Does not like,Likes,Does not like,neutral,neutral,neutral,neutral,Does not like,Likes,Does not like,neutral,type_socializer
648,Does not like,Likes,neutral,Likes,Likes,Does not like,neutral,Does not like,Likes,Does not like,neutral,neutral,type_philanthropist
228,Does not like,Likes,Does not like,neutral,neutral,Likes,Likes,Does not like,Does not like,Does not like,Does not like,Likes,type_freeSpirit
2533,neutral,Likes,Likes,Likes,neutral,neutral,Does not like,Likes,Likes,neutral,Likes,neutral,type_philanthropist
755,neutral,neutral,Likes,Does not like,Does not like,Likes,Likes,neutral,Likes,Likes,neutral,Likes,type_achiever
4137,neutral,Likes,neutral,Likes,Does not like,Likes,Does not like,Likes,neutral,Likes,neutral,neutral,type_socializer
4827,Does not like,neutral,Does not like,Likes,neutral,neutral,neutral,neutral,Likes,neutral,neutral,Likes,type_achiever
2256,Likes,Likes,neutral,Does not like,Likes,neutral,Likes,Likes,neutral,Does not like,Likes,neutral,type_socializer
3218,neutral,Likes,Does not like,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,neutral,neutral,type_socializer
1058,Does not like,Likes,Likes,Likes,Likes,Does not like,Does not like,Does not like,Likes,neutral,Does not like,neutral,type_philanthropist
2941,Does not like,neutral,Does not like,Likes,neutral,Likes,neutral,Does not like,Likes,Likes,neutral,neutral,type_achiever
1392,Likes,neutral,Likes,neutral,Does not like,Does not like,Likes,Likes,Likes,Likes,Likes,Does not like,type_achiever
412,neutral,neutral,Does not like,neutral,neutral,neutral,Does not like,neutral,neutral,neutral,neutral,Likes,type_player
4916,Likes,neutral,Likes,Does not like,neutral,neutral,Likes,Likes,Likes,Does not like,Does not like,Likes,type_disruptor
841,Likes,Likes,Likes,neutral,Likes,Likes,Likes,Likes,Likes,neutral,Likes,Likes,type_socializer
818,Likes,neutral,Likes,neutral,neutral,Does not like,Does not like,Likes,neutral,neutral,Likes,neutral,type_socializer
368,Likes,Does not like,Does not like,Does not like,neutral,Likes,neutral,neutral,neutral,Does not like,neutral,Does not like,type_freeSpirit
1750,Likes,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,neutral,Likes,neutral,Does not like,type_achiever
4882,neutral,neutral,Does not like,Does not like,neutral,Does not like,Does not like,Likes,Does not like,Does not like,Does not like,Likes,type_socializer
2688,Likes,Likes,Likes,Does not like,Does not like,neutral,Likes,Likes,neutral,neutral,Likes,neutral,type_socializer
354,neutral,neutral,neutral,neutral,Likes,Likes,neutral,Likes,Likes,Does not like,Likes,Does not like,type_freeSpirit
1783,neutral,neutral,Likes,Likes,Does not like,Does not like,Likes,neutral,Likes,Likes,Likes,Likes,type_achiever
863,neutral,Does not like,Likes,Likes,Does not like,neutral,Likes,Does not like,Does not like,Likes,Does not like,neutral,type_philanthropist
1777,Does not like,Likes,Does not like,Likes,Likes,Does not like,Does not like,Does not like,neutral,Does not like,neutral,Does not like,type_socializer
585,Likes,neutral,Likes,Likes,neutral,Does not like,Likes,neutral,neutral,Likes,neutral,neutral,type_philanthropist
1440,Does not like,neutral,Likes,Likes,Likes,neutral,Does not like,neutral,neutral,Does not like,Does not like,Does not like,type_philanthropist
3371,Likes,neutral,Does not like,Likes,Does not like,Does not like,Likes,Likes,Likes,Likes,Does not like,Does not like,type_achiever
2863,Likes,neutral,Does not like,Likes,Likes,Likes,neutral,neutral,Does not like,neutral,neutral,neutral,type_freeSpirit
3669,Does not like,Likes,Likes,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Likes,neutral,Likes,type_player
2352,Likes,neutral,Does not like,neutral,Does not like,Likes,neutral,neutral,neutral,neutral,neutral,Does not like,type_socializer
3026,neutral,Does not like,neutral,Does not like,Does not like,Does not like,neutral,neutral,neutral,Likes,Does not like,Does not like,type_achiever
1898,Likes,neutral,Likes,neutral,Does not like,Likes,Does not like,neutral,Does not like,Likes,neutral,Likes,type_socializer
3349,Does not like,neutral,Does not like,Likes,neutral,neutral,Likes,Does not like,Likes,Does not like,Does not like,Does not like,type_achiever
1298,Likes,Likes,Does not like,Likes,Likes,neutral,neutral,Likes,neutral,Does not like,Does not like,Likes,type_socializer
3563,Does not like,Likes,neutral,neutral,Likes,neutral,Likes,Likes,neutral,neutral,neutral,Likes,type_disruptor
1825,Does not like,Likes,neutral,neutral,neutral,Likes,neutral,Likes,neutral,Does not like,neutral,Likes,type_disruptor
4941,Likes,Likes,Likes,Likes,Does not like,neutral,Does not like,neutral,Does not like,Does not like,Does not like,Does not like,type_socializer
648,Does not like,Likes,neutral,Likes,Likes,Does not like,neutral,Does not like,Likes,Does not like,neutral,neutral,type_philanthropist
4759,neutral,Does not like,neutral,Does not like,Does not like,Likes,Does not like,neutral,Does not like,Likes,Does not like,Does not like,type_achiever
4907,neutral,neutral,Likes,Likes,neutral,Does not like,neutral,Likes,Likes,Does not like,Does not like,Does not like,type_philanthropist
379,Likes,Does not like,Likes,neutral,Does not like,Does not like,neutral,Likes,neutral,Does not like,neutral,Does not like,type_disruptor
96,Likes,Does not like,neutral,neutral,neutral,Likes,neutral,Likes,Does not like,Does not like,neutral,neutral,type_disruptor
449,Likes,neutral,Likes,neutral,Does not like,Does not like,Does not like,Does not like,neutral,neutral,Likes,Likes,type_player
1992,Likes,neutral,Does not like,neutral,Does not like,neutral,neutral,neutral,neutral,Does not like,neutral,Likes,type_socializer
1504,Does not like,Likes,Does not like,Does not like,neutral,Likes,neutral,Does not like,Likes,Does not like,neutral,Likes,type_player
2938,Likes,Does not like,neutral,Does not like,neutral,Likes,Likes,neutral,Does not like,Does not like,Does not like,Does not like,type_disruptor
3690,Likes,Likes,Does not like,neutral,Likes,Likes,Likes,neutral,Likes,Likes,Likes,Likes,type_socializer
4314,neutral,Does not like,Likes,Likes,Likes,neutral,Does not like,Does not like,neutral,Likes,Does not like,neutral,type_philanthropist
4786,Likes,Likes,Likes,neutral,neutral,neutral,Does not like,Does not like,Does not like,Likes,Likes,Likes,type_socializer
4171,neutral,neutral,neutral,Does not like,neutral,Likes,Likes,neutral,Does not like,Does not like,neutral,neutral,type_disruptor
587,neutral,neutral,Does not like,Likes,neutral,Likes,neutral,Likes,Does not like,neutral,Does not like,Likes,type_disruptor
3488,Does not like,Likes,neutral,Likes,Likes,Likes,Does not like,neutral,Likes,Likes,neutral,Likes,type_achiever
4763,Likes,neutral,Does not like,neutral,Does not like,neutral,Likes,Likes,Does not like,Likes,neutral,Does not like,type_disruptor
2669,neutral,neutral,Does not like,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Likes,neutral,neutral,type_socializer
3648,neutral,Likes,Does not like,Likes,neutral,Likes,Likes,Does not like,Does not like,Likes,Does not like,Does not like,type_socializer
2012,Does not like,Does not like,Likes,Likes,Does not like,Likes,Does not like,Likes,Likes,Likes,neutral,Does not like,type_achiever
2416,Does not like,Likes,Likes,neutral,Likes,Does not like,Does not like,neutral,neutral,Does not like,Does not like,Likes,type_philanthropist
4785,Does not like,Does not like,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,Likes,Does not like,type_achiever
4699,Likes,Likes,neutral,Likes,neutral,Likes,Likes,Likes,Does not like,neutral,Likes,Does not like,type_socializer
864,Does not like,neutral,Likes,Likes,Likes,Likes,Does not like,Does not like,Does not like,neutral,Does not like,neutral,type_philanthropist
3502,neutral,Does not like,Does not like,Likes,Likes,Likes,Does not like,Does not like,Likes,neutral,neutral,Does not like,type_freeSpirit
2297,Likes,Likes,Does not like,neutral,neutral,neutral,Likes,neutral,Likes,neutral,neutral,neutral,type_socializer
3383,neutral,Does not like,neutral,Does not like,Likes,Likes,Does not like,Does not like,neutral,Does not like,Does not like,Likes,type_freeSpirit
4238,Does not like,Likes,Does not like,neutral,neutral,Likes,Does not like,neutral,neutral,Likes,Does not like,Does not like,type_achiever
160,Likes,neutral,Does not like,neutral,Does not like,neutral,Does not like,Does not like,Does not like,Does not like,neutral,Does not like,type_socializer
3252,Does not like,Does not like,Does not like,neutral,Likes,neutral,Likes,Does not like,Likes,Does not like,neutral,Likes,type_player
489,Does not like,Likes,neutral,neutral,Likes,neutral,Does not like,neutral,neutral,Does not like,neutral,neutral,type_freeSpirit
4614,Likes,neutral,neutral,Likes,neutral,Does not like,Does not like,Does not like,Likes,Does not like,Does not like,neutral,type_socializer
2000,Likes,Does not like,neutral,Does not like,neutral,Likes,Does not like,Does not like,Likes,Does not like,neutral,neutral,type_freeSpirit
168,neutral,Likes,neutral,neutral,Likes,Does not like,Likes,neutral,Likes,neutral,Does not like,Does not like,type_socializer
2770,Likes,neutral,neutral,neutral,neutral,Likes,neutral,Does not like,neutral,neutral,Does not like,Likes,type_socializer
4843,Does not like,Likes,neutral,neutral,neutral,neutral,Does not like,Likes,Does not like,Likes,neutral,Does not like,type_socializer
2494,neutral,Likes,Likes,Likes,neutral,Likes,Does not like,neutral,neutral,Likes,neutral,neutral,type_philanthropist
4349,Likes,Does not like,Does not like,Does not like,Does not like,neutral,Likes,Likes,Does not like,Does not like,neutral,neutral,type_disruptor
1931,Likes,neutral,Does not like,Likes,Likes,Does not like,neutral,Does not like,Does not like,Does not like,neutral,neutral,type_socializer
70,Does not like,neutral,Likes,Does not like,Likes,Likes,Likes,Likes,Likes,Does not like,neutral,Likes,type_disruptor
3162,neutral,Does not like,Likes,Likes,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Likes,neutral,type_philanthropist
2448,neutral,Likes,neutral,Does not like,Does not like,neutral,neutral,Likes,Does not like,neutral,Does not like,Likes,type_socializer
1759,neutral,neutral,Likes,neutral,Does not like,Does not like,Likes,neutral,neutral,neutral,Does not like,neutral,type_disruptor
443,Likes,Does not like,Does not like,Does not like,neutral,neutral,Likes,Does not like,Likes,Does not like,neutral,neutral,type_socializer
2701,Does not like,Likes,Likes,neutral,Likes,Likes,Likes,Does not like,Does not like,Likes,Likes,neutral,type_freeSpirit
660,Likes,Does not like,Does not like,Likes,neutral,Does not like,Does not like,Likes,neutral,Likes,Likes,Likes,type_player
733,Does not like,Likes,Likes,neutral,neutral,Does not like,Does not like,Likes,neutral,Does not like,neutral,Likes,type_player
3308,neutral,Likes,Likes,Does not like,Likes,Does not like,Does not like,Does not like,Likes,Likes,Likes,Likes,type_achiever
4023,Likes,Likes,Does not like,Does not like,Does not like,Likes,Likes,Does not like,neutral,Does not like,neutral,Likes,type_socializer
3216,neutral,Does not like,Does not like,Likes,Likes,Likes,Does not like,Does not like,Does not like,Does not like,Likes,Does not like,type_freeSpirit
1836,Does not like,neutral,Likes,Does not like,neutral,Does not like,neutral,neutral,Does not like,Does not like,Likes,Likes,type_player
1330,Likes,neutral,neutral,Does not like,neutral,Does not like,Does not like,neutral,Likes,Likes,Does not like,Likes,type_achiever
742,Does not like,neutral,Likes,Does not like,Likes,Likes,Does not like,Does not like,Does not like,Does not like,Likes,neutral,type_freeSpirit
2140,neutral,Does not like,Likes,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Likes,Likes,neutral,type_player
4030,neutral,neutral,neutral,Likes,Does not like,neutral,Does not like,neutral,Does not like,Does not like,neutral,Does not like,type_philanthropist
695,Likes,Does not like,Likes,Does not like,neutral,Does not like,neutral,neutral,Does not like,Likes,Likes,neutral,type_player
2956,neutral,Likes,Likes,Does not like,Does not like,neutral,Likes,Does not like,Likes,Likes,Likes,Does not like,type_achiever
163,Likes,Likes,Likes,Does not like,Does not like,Likes,Likes,Likes,neutral,neutral,Does not like,Does not like,type_socializer
820,Does not like,neutral,Likes,Likes,Does not like,Does not like,Does not like,neutral,neutral,neutral,Likes,neutral,type_philanthropist
1466,Does not like,neutral,Does not like,neutral,Does not like,neutral,neutral,Does not like,Likes,Likes,Does not like,Does not like,type_achiever
639,Likes,Does not like,neutral,Does not like,Does not like,Likes,Likes,Does not like,Likes,Likes,neutral,neutral,type_achiever
3224,Does not like,neutral,Likes,Likes,Does not like,neutral,neutral,Likes,Does not like,neutral,neutral,neutral,type_philanthropist
4996,neutral,neutral,Does not like,Does not like,Does not like,Likes,Does not like,Likes,neutral,neutral,neutral,Likes,type_player
3108,Does not like,Likes,Does not like,Likes,Does not like,Likes,neutral,Likes,neutral,Likes,Likes,Likes,type_player
2893,Likes,Does not like,Does not like,Likes,neutral,Likes,Likes,Likes,Does not like,Does not like,Likes,Likes,type_disruptor
3427,Likes,neutral,Does not like,neutral,Likes,neutral,neutral,Does not like,Does not like,Likes,Likes,Does not like,type_socializer
4002,Does not like,neutral,Likes,Does not like,neutral,Does not like,Does not like,Likes,Likes,Does not like,Does not like,Does not like,type_achiever
415,Does not like,Does not like,Does not like,neutral,Likes,Does not like,Likes,Does not like,neutral,Does not like,Likes,Does not like,type_disruptor
2427,neutral,Likes,Does not like,neutral,neutral,Likes,neutral,Does not like,neutral,Does not like,Does not like,Does not like,type_socializer
2146,Does not like,Likes,Likes,neutral,Likes,neutral,Does not like,neutral,Does not like,Does not like,Does not like,Likes,type_philanthropist
1204,Likes,neutral,neutral,Does not like,neutral,neutral,Does not like,Likes,neutral,Likes,neutral,Does not like,type_socializer
4767,neutral,neutral,Likes,Does not like,Likes,Likes,Does not like,Does not like,Does not like,Likes,Likes,neutral,type_freeSpirit
2645,Does not like,Does not like,Does not like,Does not like,Does not like,Likes,neutral,Likes,Likes,Does not like,neutral,Likes,type_disruptor
965,Likes,neutral,Likes,Likes,Does not like,Does not like,neutral,neutral,neutral,Does not like,Does not like,neutral,type_philanthropist
4304,neutral,Does not like,Likes,Does not like,neutral,neutral,Likes,Likes,Likes,Does not like,neutral,Likes,type_disruptor
1007,neutral,neutral,neutral,neutral,Does not like,Does not like,Likes,neutral,neutral,Does not like,neutral,Does not like,type_disruptor
2455,neutral,Likes,Likes,neutral,Likes,Likes,neutral,Does not like,Likes,neutral,Likes,Does not like,type_freeSpirit
3063,Does not like,Does not like,Likes,Likes,Does not like,neutral,neutral,neutral,Likes,Does not like,Does not like,neutral,type_philanthropist
2389,neutral,Does not like,neutral,Likes,neutral,Does not like,Likes,Does not like,Does not like,neutral,Likes,neutral,type_player
400,neutral,neutral,Likes,Does not like,Does not like,Likes,Does not like,Does not like,Does not like,neutral,Does not like,Likes,type_socializer
1249,Likes,neutral,neutral,neutral,neutral,neutral,Likes,neutral,neutral,Does not like,Likes,neutral,type_socializer
4329,neutral,Does not like,Likes,neutral,neutral,Likes,Likes,neutral,Likes,Does not like,Does not like,Does not like,type_disruptor
3685,neutral,neutral,Does not like,Does not like,Likes,neutral,Does not like,Does not like,Likes,neutral,Does not like,Does not like,type_achiever
1005,Does not like,Likes,Does not like,Does not like,neutral,Likes,Does not like,Likes,Does not like,Does not like,neutral,Does not like,type_freeSpirit
2888,Does not like,neutral,Likes,neutral,Likes,Does not like,Likes,Likes,Does not like,neutral,neutral,Does not like,type_disruptor
2416,Does not like,Likes,Likes,neutral,Likes,Does not like,Does not like,neutral,neutral,Does not like,Does not like,Likes,type_philanthropist
3800,Does not like,Likes,neutral,neutral,neutral,Does not like,Likes,Likes,neutral,Does not like,Does not like,Does not like,type_disruptor
4676,neutral,Does not like,Does not like,Likes,Likes,neutral,neutral,neutral,Likes,Does not like,Likes,Does not like,type_freeSpirit
1499,Likes,Likes,Likes,Likes,Likes,Does not like,Does not like,neutral,Does not like,Likes,Likes,Likes,type_socializer
2877,Does not like,neutral,neutral,Likes,neutral,Likes,neutral,Does not like,Does not like,Likes,Likes,Likes,type_player
3523,Likes,Likes,Likes,neutral,Does not like,Does not like,Does not like,neutral,Does not like,neutral,Does not like,neutral,type_socializer
59,Likes,Does not like,neutral,Likes,Likes,neutral,neutral,Does not like,Does not like,Does not like,Likes,Does not like,type_philanthropist
3992,Does not like,Does not like,Does not like,neutral,Does not like,neutral,Does not like,neutral,Does not like,Likes,Likes,neutral,type_player
466,Likes,Does not like,Likes,Likes,Likes,Likes,Does not like,Likes,neutral,Likes,Does not like,neutral,type_philanthropist
1686,Does not like,Likes,Likes,Likes,Does not like,neutral,neutral,Likes,Likes,Likes,neutral,Likes,type_achiever
706,Does not like,Does not like,Likes,Does not like,Does not like,Likes,Likes,neutral,Does not like,neutral,neutral,Does not like,type_disruptor
4867,neutral,neutral,Likes,neutral,neutral,neutral,neutral,neutral,neutral,neutral,Likes,neutral,type_player
1997,Likes,neutral,neutral,Likes,Likes,Likes,neutral,Does not like,neutral,Does not like,Likes,neutral,type_freeSpirit
3557,Does not like,Does not like,neutral,neutral,neutral,neutral,neutral,Does not like,Likes,Does not like,Likes,Does not like,type_achiever
2591,Does not like,Does not like,Likes,Likes,neutral,neutral,Does not like,Likes,Likes,Likes,Likes,Likes,type_achiever
4195,neutral,Does not like,Likes,Does not like,neutral,Likes,Does not like,neutral,Does not like,Likes,Likes,Likes,type_player
91,Likes,Likes,Does not like,neutral,Does not like,Likes,neutral,Likes,neutral,neutral,Likes,Does not like,type_socializer
2692,Likes,Does not like,Likes,neutral,Does not like,Does not like,neutral,Likes,Does not like,Does not like,neutral,Likes,type_disruptor
4508,neutral,Likes,Likes,Likes,Does not like,Likes,Does not like,Does not like,Does not like,neutral,Does not like,Does not like,type_philanthropist
597,Likes,Does not like,Does not like,neutral,neutral,neutral,Does not like,neutral,Likes,neutral,neutral,Does not like,type_achiever
1416,Does not like,neutral,Does not like,Likes,Does not like,neutral,Does not like,Likes,Does not like,Does not like,Likes,Does not like,type_disruptor
1849,Does not like,Does not like,Likes,Likes,Does not like,Likes,neutral,Does not like,neutral,neutral,Likes,Likes,type_player
281,Does not like,Likes,neutral,Does not like,Likes,Does not like,Likes,Likes,Does not like,neutral,Does not like,Likes,type_disruptor
1158,Likes,neutral,Does not like,Does not like,Does not like,Likes,Likes,Does not like,neutral,Likes,Does not like,Does not like,type_socializer
253,Likes,Does not like,Likes,neutral,neutral,Does not like,neutral,neutral,Likes,Does not like,neutral,Likes,type_player
1319,Does not like,Does not like,neutral,neutral,neutral,neutral,Does not like,neutral,Does not like,neutral,Likes,Does not like,type_player
3756,Likes,Likes,neutral,Likes,Does not like,neutral,neutral,Likes,neutral,Likes,Does not like,neutral,type_socializer
154,Likes,Likes,neutral,Does not like,Likes,neutral,Likes,neutral,Likes,neutral,Does not like,Likes,type_socializer
4618,Does not like,Does not like,Likes,Does not like,neutral,Likes,neutral,Likes,Does not like,Likes,Likes,Likes,type_player
3210,neutral,neutral,Does not like,neutral,Likes,Likes,Does not like,Does not like,Does not like,Does not like,neutral,neutral,type_freeSpirit
4425,Likes,Likes,neutral,Likes,Does not like,Likes,neutral,Does not like,Does not like,Does not like,neutral,Does not like,type_socializer
631,Likes,Does not like,Does not like,Likes,Does not like,neutral,Likes,Does not like,neutral,Does not like,Does not like,Does not like,type_socializer
255,Likes,neutral,neutral,Likes,Likes,Likes,neutral,Likes,Likes,Does not like,Does not like,Likes,type_freeSpirit
4500,Does not like,Likes,Likes,neutral,Likes,Likes,neutral,Likes,Likes,Likes,Does not like,Does not like,type_achiever
158,neutral,Does not like,neutral,neutral,Does not like,Likes,neutral,neutral,Likes,neutral,Does not like,Likes,type_achiever
4866,Does not like,Likes,Likes,Likes,neutral,Does not like,neutral,Likes,Likes,Likes,Does not like,Likes,type_achiever
1834,Does not like,Does not like,neutral,Likes,neutral,Likes,Likes,Does not like,Likes,Does not like,Likes,Does not like,type_philanthropist
2857,Does not like,Likes,Does not like,neutral,neutral,Likes,Likes,Does not like,Does not like,Does not like,Likes,Likes,type_player
3932,Does not like,Likes,neutral,Likes,neutral,Does not like,neutral,Does not like,Does not like,Likes,neutral,Likes,type_player
3898,Does not like,Likes,neutral,Does not like,Does not like,Likes,neutral,neutral,neutral,Does not like,neutral,neutral,type_socializer
4321,Does not like,Does not like,Likes,neutral,Does not like,Likes,Does not like,neutral,neutral,Does not like,Does not like,neutral,type_philanthropist
4953,Does not like,Does not like,neutral,Does not like,Does not like,neutral,neutral,Does not like,Does not like,Does not like,neutral,Likes,type_player
879,Likes,Likes,neutral,neutral,neutral,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,neutral,type_socializer
2920,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,Likes,Does not like,Likes,Does not like,Likes,type_socializer
1085,neutral,neutral,Does not like,Likes,Does not like,neutral,Does not like,Likes,neutral,neutral,Likes,Does not like,type_socializer
4739,neutral,Likes,neutral,Does not like,Likes,Does not like,neutral,Does not like,Likes,neutral,Does not like,Likes,type_socializer
3796,Does not like,Likes,Likes,Does not like,Does not like,Does not like,neutral,Likes,Likes,Likes,neutral,neutral,type_achiever
3122,Likes,Likes,Likes,neutral,neutral,neutral,Does not like,Does not like,Does not like,Likes,Does not like,Does not like,type_socializer
3819,Likes,Does not like,Likes,Likes,neutral,neutral,neutral,neutral,neutral,neutral,Does not like,neutral,type_philanthropist
3863,Does not like,Likes,Does not like,Does not like,neutral,neutral,neutral,Likes,neutral,neutral,neutral,Does not like,type_disruptor
1249,Likes,neutral,neutral,neutral,neutral,neutral,Likes,neutral,neutral,Does not like,Likes,neutral,type_socializer
856,Does not like,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Does not like,Likes,Likes,neutral,neutral,type_achiever
1336,Likes,neutral,Likes,Does not like,Does not like,neutral,Likes,neutral,Likes,neutral,Does not like,neutral,type_socializer
180,Does not like,Does not like,Likes,Likes,neutral,Does not like,neutral,neutral,Likes,Does not like,neutral,Likes,type_philanthropist
3276,neutral,neutral,Does not like,Likes,Does not like,Likes,Does not like,Likes,Does not like,Likes,Does not like,neutral,type_socializer
2985,neutral,neutral,Likes,Likes,Likes,Likes,Does not like,Does not like,Does not like,Does not like,Likes,neutral,type_philanthropist
2012,Does not like,Does not like,Likes,Likes,Does not like,Likes,Does not like,Likes,Likes,Likes,neutral,Does not like,type_achiever
1502,Does not like,Likes,neutral,Likes,Does not like,Likes,Likes,Does not like,neutral,Likes,Likes,Likes,type_player
1982,Likes,Likes,Likes,neutral,Does not like,Does not like,Does not like,neutral,Does not like,Does not like,neutral,Does not like,type_socializer
2351,neutral,Does not like,Does not like,Likes,Does not like,neutral,Likes,neutral,Likes,Does not like,neutral,neutral,type_disruptor
3095,Likes,Likes,neutral,Likes,Does not like,Likes,Does not like,Likes,Likes,Does not like,Likes,neutral,type_socializer
4949,Likes,Likes,Does not like,neutral,Does not like,neutral,Likes,Does not like,Does not like,neutral,neutral,neutral,type_socializer
146,neutral,Likes,Likes,Likes,Likes,neutral,neutral,Likes,Likes,neutral,neutral,Does not like,type_philanthropist
1942,Does not like,Likes,Likes,Likes,Likes,Does not like,Likes,Likes,Likes,Does not like,Likes,Does not like,type_disruptor
4553,Likes,Likes,Does not like,neutral,neutral,Likes,Likes,Does not like,Does not like,Likes,Does not like,Likes,type_socializer
4091,Likes,neutral,neutral,Does not like,neutral,Likes,neutral,Likes,neutral,Does not like,neutral,neutral,type_socializer
2170,Likes,neutral,Likes,Does not like,neutral,Likes,Likes,Does not like,Does not like,Does not like,neutral,Does not like,type_socializer
982,neutral,Likes,neutral,neutral,neutral,Likes,Does not like,neutral,neutral,Likes,Does not like,Does not like,type_socializer
3115,Likes,neutral,Likes,Does not like,Likes,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,neutral,type_socializer
343,Likes,Does not like,neutral,neutral,Likes,Likes,Does not like,Likes,Likes,Likes,neutral,Likes,type_achiever
667,Likes,neutral,Does not like,Does not like,Likes,neutral,neutral,Does not like,Likes,neutral,neutral,Does not like,type_socializer
421,Likes,neutral,Does not like,neutral,neutral,Likes,Does not like,Does not like,Does not like,neutral,neutral,Likes,type_socializer
1939,Likes,neutral,Does not like,Does not like,Does not like,neutral,Likes,Does not like,Does not like,Does not like,Does not like,neutral,type_socializer
4064,Likes,Likes,Does not like,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,Likes,Likes,neutral,type_socializer
4633,neutral,Likes,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Likes,Likes,type_player
4203,Does not like,Likes,neutral,Does not like,Does not like,neutral,neutral,Does not like,neutral,neutral,neutral,Does not like,type_socializer
4811,neutral,Does not like,Likes,Does not like,Does not like,Likes,Does not like,Does not like,Likes,Does not like,Likes,neutral,type_player
4507,neutral,Likes,neutral,Does not like,Likes,neutral,Likes,neutral,neutral,Likes,Likes,Likes,type_player
3409,Likes,Does not like,Does not like,Likes,neutral,Likes,neutral,Does not like,Likes,Likes,Likes,neutral,type_achiever
2138,neutral,Does not like,neutral,Likes,Does not like,Likes,neutral,neutral,Does not like,Likes,Likes,neutral,type_player
699,neutral,Likes,Does not like,neutral,Does not like,Does not like,Likes,Does not like,Does not like,neutral,neutral,Does not like,type_socializer
3829,neutral,neutral,Likes,Does not like,Does not like,Likes,Likes,Likes,neutral,Does not like,Does not like,Likes,type_disruptor
1958,neutral,Does not like,neutral,Does not like,neutral,Likes,Does not like,neutral,neutral,neutral,neutral,Likes,type_player
4504,Does not like,Likes,Likes,Does not like,neutral,Likes,Does not like,Likes,neutral,Does not like,neutral,Does not like,type_freeSpirit
2170,Likes,neutral,Likes,Does not like,neutral,Likes,Likes,Does not like,Does not like,Does not like,neutral,Does not like,type_socializer
2274,Likes,neutral,Does not like,neutral,neutral,Does not like,neutral,Does not like,Likes,neutral,neutral,Does not like,type_socializer
1787,neutral,Likes,neutral,neutral,Does not like,Does not like,neutral,Likes,Likes,Likes,Does not like,Likes,type_achiever
1875,Likes,Does not like,neutral,Does not like,neutral,neutral,Does not like,Does not like,Likes,neutral,Does not like,neutral,type_achiever
1687,Does not like,neutral,Likes,Does not like,Does not like,Likes,Likes,Likes,Likes,Likes,Does not like,Does not like,type_achiever
3794,Likes,neutral,neutral,Likes,Likes,Does not like,Does not like,Does not like,Does not like,neutral,Likes,Does not like,type_socializer
